entity,thing,type1
Sarah Huckabee Sanders,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Herbert Hoover,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Oliver Cromwell,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Henry Kissinger,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jerry Brown,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lal Bahadur Shastri,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Condoleezza Rice,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
David Cameron,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
"Andrew Johnson - 17 President of the United States of America From April 15, 1865 to March 4, 1869",political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ross Perot,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nikita Khrushchev,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mohammed bin Rashid Al Maktoum,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Andrés Manuel López Obrador,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sonia Gandhi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Aaron Burr,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jeremy Bernard Corbyn,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sarah Palin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Muhammad Ali Jinnah,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Grover Cleveland,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Tony Blair,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James Madison,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William Howard Taft,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Warren G. Harding,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William McKinley,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Anthony Eden,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Quincy Adams,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Otto von Bismarck,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Calvin Coolidge,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Boris Johnson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
William Henry Harrison,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Kerry,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Lavrentiy Beria,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Eleanor Roosevelt,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James Buchanan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James A. Garfield,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Chiang Kai-shek,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Benjamin Netanyahu ,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rudolf Hess,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Neville Chamberlain,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ram Nath Kovind,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Aung San Suu Kyi,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Dalai Lama,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Walter Raleigh,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ho Chi Minh,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Mahathir Mohamad,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jefferson Davis,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Walter Mondale,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Pierre Trudeau,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Nelson Rockefeller,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Cicero,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Joseph McCarthy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Martin Van Buren,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Rudy Giuliani,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Glenn,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Jesse Ventura,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Enrique Peña Nieto,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Franklin Pierce,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Benazir Bhutto,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Zachary Taylor,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Robert McNamara,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Roman Abramovich,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
John Tyler,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Davy Crockett,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
James K. Polk,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ferdinand Marcos,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
George Weah,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Ben Carson,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Steve King,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Boris Yeltsin,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Leonid Brezhnev,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Josip Broz Tito,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
George Wallace,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Marco Rubio,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Strom Thurmond,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Trey Gowdy,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Karl Dönitz,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Robert Mugabe,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Sam Houston,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Leo Varadkar,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Martin Bormann,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Benjamin Harrison,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Harvey Milk,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
Khalifa bin Zayed Al Nahyan,political-leaders,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
